CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.5495965480804443,200,250,boltzmann,one_point,multigen,elite,21.839644733272095
warrior,100,2.761568546295166,200,250,boltzmann,one_point,multigen,elite,21.83964473327248
warrior,100,2.6516244411468506,200,250,boltzmann,one_point,multigen,elite,21.83964473327227
warrior,100,2.471630334854126,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.5510334968566895,200,250,boltzmann,one_point,multigen,elite,21.83964473327215
warrior,100,2.479825735092163,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.6102449893951416,200,250,boltzmann,one_point,multigen,elite,21.83964473327247
warrior,100,2.484985113143921,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.626194715499878,200,250,boltzmann,one_point,multigen,elite,21.83964473327249
warrior,100,2.4825117588043213,200,250,boltzmann,one_point,multigen,elite,21.83964473327151
warrior,100,2.9419310092926025,200,250,boltzmann,one_point,multigen,elite,21.83964473327246
warrior,100,3.489117383956909,200,250,boltzmann,one_point,multigen,elite,21.83964473327248
warrior,100,2.637981653213501,200,250,boltzmann,one_point,multigen,elite,21.83964473327248
warrior,100,3.2174124717712402,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.649832010269165,200,250,boltzmann,one_point,multigen,elite,21.83964473326784
warrior,100,2.693354845046997,200,250,boltzmann,one_point,multigen,elite,21.83964473327229
warrior,100,2.722205400466919,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.574775218963623,200,250,boltzmann,one_point,multigen,elite,21.83964473327248
warrior,100,2.6560680866241455,200,250,boltzmann,one_point,multigen,elite,21.839644733272458
warrior,100,2.6337573528289795,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.710937976837158,200,250,boltzmann,one_point,multigen,elite,21.83964473327247
warrior,100,2.5381574630737305,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.73518705368042,200,250,boltzmann,one_point,multigen,elite,21.839644733272475
warrior,100,2.5851891040802,200,250,boltzmann,one_point,multigen,elite,21.839644733272486
warrior,100,2.611842632293701,200,250,boltzmann,one_point,multigen,elite,21.83964473327249
warrior,100,2.712955951690674,200,250,boltzmann,two_point,multigen,elite,21.839644733272486
warrior,100,2.848701000213623,200,250,boltzmann,two_point,multigen,elite,21.83964473326827
warrior,100,2.7128114700317383,200,250,boltzmann,two_point,multigen,elite,21.839644733272458
warrior,100,2.6349446773529053,200,250,boltzmann,two_point,multigen,elite,21.839644733272454
warrior,100,2.7463412284851074,200,250,boltzmann,two_point,multigen,elite,21.839644733272458
warrior,100,2.789780378341675,200,250,boltzmann,two_point,multigen,elite,21.83964473327248
warrior,100,2.7283575534820557,200,250,boltzmann,two_point,multigen,elite,21.839644733271957
warrior,100,2.6176857948303223,200,250,boltzmann,two_point,multigen,elite,21.839644733271996
warrior,100,2.8675622940063477,200,250,boltzmann,two_point,multigen,elite,21.839644733272117
warrior,100,2.6093077659606934,200,250,boltzmann,two_point,multigen,elite,21.8396447332722
warrior,100,2.8073904514312744,200,250,boltzmann,two_point,multigen,elite,21.839644733272273
warrior,100,2.9116954803466797,200,250,boltzmann,two_point,multigen,elite,21.83964473327244
warrior,100,2.674952983856201,200,250,boltzmann,two_point,multigen,elite,21.83964473327248
warrior,100,2.85709547996521,200,250,boltzmann,two_point,multigen,elite,21.839644733272483
