CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.0355842113494873,200,250,boltzmann,uniform,gen,elite,18.43715346760546
warrior,100,2.0214085578918457,200,250,boltzmann,uniform,gen,elite,19.53802381235852
warrior,100,1.9693536758422852,200,250,boltzmann,uniform,gen,elite,17.624251504721407
warrior,100,1.9994473457336426,200,250,boltzmann,uniform,gen,elite,18.07726208669157
warrior,100,1.7015504837036133,200,250,boltzmann,uniform,gen,elite,17.48893894429968
warrior,100,1.9020445346832275,200,250,boltzmann,uniform,gen,elite,18.42622980056024
warrior,100,1.7556016445159912,200,250,boltzmann,uniform,gen,elite,15.366375672737133
warrior,100,1.5635056495666504,200,250,boltzmann,uniform,gen,elite,16.160146993100142
warrior,100,1.4389607906341553,200,250,boltzmann,uniform,gen,elite,16.236605995148782
warrior,100,1.6717936992645264,200,250,boltzmann,uniform,gen,elite,13.690159328025283
warrior,100,1.5162017345428467,200,250,boltzmann,uniform,gen,elite,18.209587155350277
warrior,100,1.4631667137145996,200,250,boltzmann,uniform,gen,elite,18.519850852399387
warrior,100,1.6795613765716553,200,250,boltzmann,uniform,gen,elite,14.972271226995826
warrior,100,1.4586553573608398,200,250,boltzmann,uniform,gen,elite,18.909445770171033
warrior,100,1.4624693393707275,200,250,boltzmann,uniform,gen,elite,16.68292634052242
warrior,100,1.629441499710083,200,250,boltzmann,uniform,gen,elite,17.222964210317716
warrior,100,1.4376609325408936,200,250,boltzmann,uniform,gen,elite,20.18780256264762
warrior,100,1.4264411926269531,200,250,boltzmann,uniform,gen,elite,18.227203510944605
warrior,100,1.6601266860961914,200,250,boltzmann,uniform,gen,elite,21.20181346762163
warrior,100,1.475883960723877,200,250,boltzmann,uniform,gen,elite,15.801210282749686
warrior,100,1.456549882888794,200,250,boltzmann,uniform,gen,elite,17.47519464667322
warrior,100,1.5680959224700928,200,250,boltzmann,uniform,gen,elite,21.183291476583797
warrior,100,1.4969377517700195,200,250,boltzmann,uniform,gen,elite,16.632771735878173
warrior,100,1.4707398414611816,200,250,boltzmann,uniform,gen,elite,17.26080790611786
warrior,100,1.496048927307129,200,250,boltzmann,uniform,gen,elite,16.71361321902385
warrior,100,1.4791913032531738,200,250,boltzmann,uniform,gen,elite,18.927090925757458
warrior,100,1.4967472553253174,200,250,boltzmann,uniform,gen,elite,16.669642215536665
warrior,100,1.8432307243347168,200,250,boltzmann,uniform,gen,elite,16.424544938480402
warrior,100,1.4789505004882812,200,250,boltzmann,uniform,gen,elite,20.298867678671293
warrior,100,1.4684436321258545,200,250,boltzmann,uniform,gen,elite,15.174069115129406
warrior,100,1.4619600772857666,200,250,boltzmann,uniform,gen,elite,18.1558105883878
warrior,100,1.5525212287902832,200,250,boltzmann,uniform,gen,elite,16.683280042113935
warrior,100,1.562636137008667,200,250,boltzmann,uniform,gen,elite,18.01204410756682
warrior,100,1.4581143856048584,200,250,boltzmann,uniform,gen,elite,19.2759205490779
warrior,100,1.5784287452697754,200,250,boltzmann,uniform,gen,elite,17.04168058424975
warrior,100,1.4762036800384521,200,250,boltzmann,uniform,gen,elite,20.436807151590887
warrior,100,1.4589345455169678,200,250,boltzmann,uniform,gen,elite,19.875931779266843
warrior,100,1.705505609512329,200,250,boltzmann,uniform,gen,elite,17.140761999424466
warrior,100,1.4497346878051758,200,250,boltzmann,uniform,gen,elite,20.685341117277485
warrior,100,1.455028772354126,200,250,boltzmann,uniform,gen,elite,18.210841979259737
warrior,100,1.7110085487365723,200,250,boltzmann,uniform,gen,elite,15.343412980216904
warrior,100,1.4562585353851318,200,250,boltzmann,uniform,gen,elite,18.638503387475
warrior,100,1.4455976486206055,200,250,boltzmann,uniform,gen,elite,19.28800824625516
warrior,100,1.647998332977295,200,250,boltzmann,uniform,gen,elite,16.06729920680902
warrior,100,1.4349756240844727,200,250,boltzmann,uniform,gen,elite,16.51748862256891
warrior,100,1.4569470882415771,200,250,boltzmann,uniform,gen,elite,17.587277092274967
warrior,100,1.6695449352264404,200,250,boltzmann,uniform,gen,elite,18.146062710036443
warrior,100,1.4552710056304932,200,250,boltzmann,uniform,gen,elite,18.108149979837375
warrior,100,1.454746961593628,200,250,boltzmann,uniform,gen,elite,17.32948942828225
warrior,100,1.6531445980072021,200,250,boltzmann,uniform,gen,elite,14.073315943277297
warrior,100,1.4324274063110352,200,250,boltzmann,uniform,gen,elite,18.84422676511913
warrior,100,1.4290051460266113,200,250,boltzmann,uniform,gen,elite,21.46920865227938
warrior,100,1.6511194705963135,200,250,boltzmann,uniform,gen,elite,20.04668854602481
warrior,100,1.4188287258148193,200,250,boltzmann,uniform,gen,elite,21.733418199593586
warrior,100,1.43977689743042,200,250,boltzmann,uniform,gen,elite,17.610426303498222
warrior,100,1.6984889507293701,200,250,boltzmann,uniform,gen,elite,20.806414030505497
warrior,100,1.4395172595977783,200,250,boltzmann,uniform,gen,elite,19.07916906266906
warrior,100,1.4543235301971436,200,250,boltzmann,uniform,gen,elite,20.54164805078043
warrior,100,1.6864259243011475,200,250,boltzmann,uniform,gen,elite,21.286223286788754
warrior,100,1.433732271194458,200,250,boltzmann,uniform,gen,elite,19.642171959655613
warrior,100,1.4332737922668457,200,250,boltzmann,uniform,gen,elite,18.784066006322867
warrior,100,1.6268658638000488,200,250,boltzmann,uniform,gen,elite,18.395276229825445
warrior,100,1.434457778930664,200,250,boltzmann,uniform,gen,elite,17.594827840882417
warrior,100,1.4465534687042236,200,250,boltzmann,uniform,gen,elite,21.351999351407354
warrior,100,1.5634934902191162,200,250,boltzmann,uniform,gen,elite,18.930668458345536
warrior,100,1.545790195465088,200,250,boltzmann,uniform,gen,elite,17.021457899723877
warrior,100,1.4497723579406738,200,250,boltzmann,uniform,gen,elite,20.166503328159497
warrior,100,1.5656800270080566,200,250,boltzmann,uniform,gen,elite,21.537395858748514
warrior,100,1.7657012939453125,200,250,boltzmann,uniform,gen,elite,21.342952012643217
warrior,100,1.6759405136108398,200,250,boltzmann,uniform,gen,elite,17.61847130256076
warrior,100,1.8127572536468506,200,250,boltzmann,uniform,gen,elite,21.592924338846892
warrior,100,1.4817590713500977,200,250,boltzmann,uniform,gen,elite,14.605474490345083
warrior,100,1.4422571659088135,200,250,boltzmann,uniform,gen,elite,18.655794660795035
warrior,100,1.6150128841400146,200,250,boltzmann,uniform,gen,elite,21.369854717022918
warrior,100,1.4768764972686768,200,250,boltzmann,uniform,gen,elite,20.656565054818135
warrior,100,1.968155860900879,200,250,boltzmann,uniform,multigen,elite,19.62325477799008
warrior,100,2.1486873626708984,200,250,boltzmann,uniform,multigen,elite,19.92503145968424
warrior,100,2.1228089332580566,200,250,boltzmann,uniform,multigen,elite,21.36244307443329
warrior,100,2.102102279663086,200,250,boltzmann,uniform,multigen,elite,20.44327066067978
warrior,100,1.9519498348236084,200,250,boltzmann,uniform,multigen,elite,21.595909564710563
warrior,100,1.9741437435150146,200,250,boltzmann,uniform,multigen,elite,20.9255573425122
warrior,100,1.9799284934997559,200,250,boltzmann,uniform,multigen,elite,21.387700052446455
warrior,100,1.936028242111206,200,250,boltzmann,uniform,multigen,elite,21.75183651760021
warrior,100,2.1345763206481934,200,250,boltzmann,uniform,multigen,elite,21.24469296763027
warrior,100,1.9239532947540283,200,250,boltzmann,uniform,multigen,elite,21.349009772866115
warrior,100,2.070460796356201,200,250,boltzmann,uniform,multigen,elite,21.208064939724306
warrior,100,2.020638942718506,200,250,boltzmann,uniform,multigen,elite,21.646834238678263
warrior,100,1.9349277019500732,200,250,boltzmann,uniform,multigen,elite,18.77144003229317
warrior,100,2.223053216934204,200,250,boltzmann,uniform,multigen,elite,16.798144174251203
warrior,100,1.994964361190796,200,250,boltzmann,uniform,multigen,elite,20.725816502940674
warrior,100,2.210219144821167,200,250,boltzmann,uniform,multigen,elite,21.751836505052
warrior,100,1.9770534038543701,200,250,boltzmann,uniform,multigen,elite,20.613328966053388
warrior,100,2.116482973098755,200,250,boltzmann,uniform,multigen,elite,19.28426850306394
warrior,100,1.9791316986083984,200,250,boltzmann,uniform,multigen,elite,20.769737816469775
warrior,100,1.943049430847168,200,250,boltzmann,uniform,multigen,elite,20.729850597108868
warrior,100,2.0196900367736816,200,250,boltzmann,uniform,multigen,elite,19.738359950195356
warrior,100,1.8939540386199951,200,250,boltzmann,uniform,multigen,elite,21.305154816368276
warrior,100,2.080125093460083,200,250,boltzmann,uniform,multigen,elite,19.380985520762152
warrior,100,1.9331586360931396,200,250,boltzmann,uniform,multigen,elite,20.7123966797188
warrior,100,2.0959315299987793,200,250,boltzmann,uniform,multigen,elite,20.631699279558795
warrior,100,2.0456550121307373,200,250,boltzmann,uniform,multigen,elite,21.839644733136893
warrior,100,2.12473726272583,200,250,boltzmann,uniform,multigen,elite,21.839644733263313
warrior,100,2.074986219406128,200,250,boltzmann,uniform,multigen,elite,21.839644733270116
warrior,100,1.9838430881500244,200,250,boltzmann,uniform,multigen,elite,21.839644733271417
warrior,100,2.2168455123901367,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,2.027440071105957,200,250,boltzmann,uniform,multigen,elite,21.839644733264635
warrior,100,2.093822479248047,200,250,boltzmann,uniform,multigen,elite,21.83964473327023
warrior,100,1.967116355895996,200,250,boltzmann,uniform,multigen,elite,21.839644733272443
warrior,100,2.1179769039154053,200,250,boltzmann,uniform,multigen,elite,21.829884727924803
warrior,100,2.0323939323425293,200,250,boltzmann,uniform,multigen,elite,21.839644733272415
warrior,100,1.949671983718872,200,250,boltzmann,uniform,multigen,elite,21.839644733270877
warrior,100,2.258457899093628,200,250,boltzmann,uniform,multigen,elite,21.839644733272458
warrior,100,2.0294814109802246,200,250,boltzmann,uniform,multigen,elite,21.829884727917683
warrior,100,2.1122078895568848,200,250,boltzmann,uniform,multigen,elite,21.839644733272166
warrior,100,2.007963180541992,200,250,boltzmann,uniform,multigen,elite,21.83964473326362
warrior,100,2.204275131225586,200,250,boltzmann,uniform,multigen,elite,21.839644733272426
warrior,100,2.0427186489105225,200,250,boltzmann,uniform,multigen,elite,21.839644733271655
warrior,100,1.950798511505127,200,250,boltzmann,uniform,multigen,elite,21.839644733271275
warrior,100,2.1805381774902344,200,250,boltzmann,uniform,multigen,elite,21.83964473327223
warrior,100,1.9500234127044678,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.1489744186401367,200,250,boltzmann,uniform,multigen,elite,21.83964473321028
warrior,100,1.970684289932251,200,250,boltzmann,uniform,multigen,elite,21.839644733257394
warrior,100,2.2430896759033203,200,250,boltzmann,uniform,multigen,elite,21.83964473325441
warrior,100,2.4926416873931885,200,250,boltzmann,uniform,multigen,elite,21.839644733272163
warrior,100,2.3880679607391357,200,250,boltzmann,uniform,multigen,elite,21.839644733272458
warrior,100,2.3747940063476562,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.58227801322937,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,2.364133596420288,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.5378191471099854,200,250,boltzmann,uniform,multigen,elite,21.839644733269825
warrior,100,2.548964023590088,200,250,boltzmann,uniform,multigen,elite,21.839644733272483
warrior,100,2.532273292541504,200,250,boltzmann,uniform,multigen,elite,21.839644733272287
warrior,100,2.5350046157836914,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.700737237930298,200,250,boltzmann,uniform,multigen,elite,21.839644733272458
warrior,100,2.6427717208862305,200,250,boltzmann,uniform,multigen,elite,21.83964473327242
warrior,100,2.946056604385376,200,250,boltzmann,uniform,multigen,elite,21.839644733272465
warrior,100,2.3733513355255127,200,250,boltzmann,uniform,multigen,elite,21.839644733272426
warrior,100,2.422405958175659,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.411919593811035,200,250,boltzmann,uniform,multigen,elite,21.839644733271186
warrior,100,2.529714345932007,200,250,boltzmann,uniform,multigen,elite,21.839644733272422
warrior,100,2.410067558288574,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4799857139587402,200,250,boltzmann,uniform,multigen,elite,21.839644733272294
warrior,100,2.3935301303863525,200,250,boltzmann,uniform,multigen,elite,21.83964473327237
warrior,100,2.4301986694335938,200,250,boltzmann,uniform,multigen,elite,21.839644733270912
warrior,100,2.467005968093872,200,250,boltzmann,uniform,multigen,elite,21.83964473327186
warrior,100,2.516597032546997,200,250,boltzmann,uniform,multigen,elite,21.839644733272458
warrior,100,2.8912532329559326,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.5214154720306396,200,250,boltzmann,uniform,multigen,elite,21.83964473327249
warrior,100,2.4287679195404053,200,250,boltzmann,uniform,multigen,elite,21.83964473327249
warrior,100,2.4251668453216553,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4728872776031494,200,250,boltzmann,uniform,multigen,elite,21.839644733272454
