CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.497636556625366,200,250,boltzmann,uniform,multigen,elite,21.83964473327238
warrior,100,2.7151577472686768,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.47475266456604,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.9902002811431885,200,250,boltzmann,uniform,multigen,elite,21.839644733272415
warrior,100,3.2331323623657227,200,250,boltzmann,uniform,multigen,elite,21.839644733272358
warrior,100,3.0578746795654297,200,250,boltzmann,uniform,multigen,elite,21.83964473327195
warrior,100,3.0239717960357666,200,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,2.5843493938446045,200,250,boltzmann,uniform,multigen,elite,21.839644733272454
warrior,100,2.5310261249542236,200,250,boltzmann,uniform,multigen,elite,21.839644733272298
warrior,100,2.4430911540985107,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.454834461212158,200,250,boltzmann,uniform,multigen,elite,21.839644733272053
warrior,100,2.4074931144714355,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.56429123878479,200,250,boltzmann,uniform,multigen,elite,21.83964473327236
warrior,100,2.431666135787964,200,250,boltzmann,uniform,multigen,elite,21.83964473327242
warrior,100,2.483529806137085,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,3.0965166091918945,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.733508348464966,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.9939448833465576,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.460597515106201,200,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,3.408503532409668,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,3.398527145385742,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,3.010784864425659,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.773083209991455,200,250,boltzmann,uniform,multigen,elite,21.839644733271253
warrior,100,2.4391725063323975,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.7457377910614014,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,3.302394390106201,200,250,boltzmann,uniform,multigen,roulette,21.83951247192445
warrior,100,3.1191017627716064,200,250,boltzmann,uniform,multigen,roulette,21.83944309901883
warrior,100,3.18278431892395,200,250,boltzmann,uniform,multigen,roulette,21.83964470776928
warrior,100,3.2192299365997314,200,250,boltzmann,uniform,multigen,roulette,21.839639453295757
warrior,100,2.9313127994537354,200,250,boltzmann,uniform,multigen,roulette,21.839584133532018
warrior,100,3.2868704795837402,200,250,boltzmann,uniform,multigen,roulette,21.839642661939113
warrior,100,3.40063214302063,200,250,boltzmann,uniform,multigen,roulette,21.837972856278075
warrior,100,3.367886781692505,200,250,boltzmann,uniform,multigen,roulette,21.839644707072317
warrior,100,3.180384397506714,200,250,boltzmann,uniform,multigen,roulette,21.834497938029926
warrior,100,3.143756151199341,200,250,boltzmann,uniform,multigen,roulette,21.839638739553518
warrior,100,3.183467388153076,200,250,boltzmann,uniform,multigen,roulette,21.83964473292957
warrior,100,3.6504039764404297,200,250,boltzmann,uniform,multigen,roulette,21.839604915803275
warrior,100,3.782799005508423,200,250,boltzmann,uniform,multigen,roulette,21.83963915510808
warrior,100,3.551378011703491,200,250,boltzmann,uniform,multigen,roulette,21.83961732979854
warrior,100,3.3533384799957275,200,250,boltzmann,uniform,multigen,roulette,21.839638596883074
warrior,100,3.313500165939331,200,250,boltzmann,uniform,multigen,roulette,21.829780940970057
warrior,100,3.054210901260376,200,250,boltzmann,uniform,multigen,roulette,21.839644640857763
warrior,100,3.836350917816162,200,250,boltzmann,uniform,multigen,roulette,21.839554747075276
warrior,100,3.4949450492858887,200,250,boltzmann,uniform,multigen,roulette,21.829884368316588
warrior,100,3.658451557159424,200,250,boltzmann,uniform,multigen,roulette,21.83918101089574
warrior,100,3.246870994567871,200,250,boltzmann,uniform,multigen,roulette,21.83770254031002
warrior,100,3.205230712890625,200,250,boltzmann,uniform,multigen,roulette,21.83959961555837
warrior,100,3.6971287727355957,200,250,boltzmann,uniform,multigen,roulette,21.839644555240017
warrior,100,3.134450674057007,200,250,boltzmann,uniform,multigen,roulette,21.839635198354564
warrior,100,3.2534494400024414,200,250,boltzmann,uniform,multigen,roulette,21.839627779569565
warrior,100,3.030784845352173,200,250,boltzmann,uniform,multigen,universal,21.839644678525744
warrior,100,2.9716076850891113,200,250,boltzmann,uniform,multigen,universal,21.839468389948173
warrior,100,3.1843512058258057,200,250,boltzmann,uniform,multigen,universal,21.83964359590757
warrior,100,2.8403759002685547,200,250,boltzmann,uniform,multigen,universal,21.839514612586502
warrior,100,3.053494930267334,200,250,boltzmann,uniform,multigen,universal,21.83964146108534
warrior,100,3.218663215637207,200,250,boltzmann,uniform,multigen,universal,21.839633503000012
warrior,100,2.838074207305908,200,250,boltzmann,uniform,multigen,universal,21.839554511060403
warrior,100,3.1697394847869873,200,250,boltzmann,uniform,multigen,universal,21.839643344582353
warrior,100,3.1853015422821045,200,250,boltzmann,uniform,multigen,universal,21.839640935167505
warrior,100,2.933894634246826,200,250,boltzmann,uniform,multigen,universal,21.839641943606157
warrior,100,3.3906641006469727,200,250,boltzmann,uniform,multigen,universal,21.839643431691687
warrior,100,3.4863362312316895,200,250,boltzmann,uniform,multigen,universal,21.829832304332122
warrior,100,3.310053825378418,200,250,boltzmann,uniform,multigen,universal,21.83881762055326
warrior,100,3.0900352001190186,200,250,boltzmann,uniform,multigen,universal,21.839641752791376
warrior,100,2.865539073944092,200,250,boltzmann,uniform,multigen,universal,21.839644721811236
warrior,100,2.9800376892089844,200,250,boltzmann,uniform,multigen,universal,21.839632392097702
warrior,100,2.9119832515716553,200,250,boltzmann,uniform,multigen,universal,21.83964443191787
warrior,100,2.931241035461426,200,250,boltzmann,uniform,multigen,universal,21.83955591823828
warrior,100,3.498075008392334,200,250,boltzmann,uniform,multigen,universal,21.839635306681384
warrior,100,3.0909481048583984,200,250,boltzmann,uniform,multigen,universal,21.839644439834647
warrior,100,3.305837631225586,200,250,boltzmann,uniform,multigen,universal,21.83963643616005
warrior,100,3.141197919845581,200,250,boltzmann,uniform,multigen,universal,21.83962350077751
warrior,100,3.2516095638275146,200,250,boltzmann,uniform,multigen,universal,21.839644659434057
warrior,100,3.1882965564727783,200,250,boltzmann,uniform,multigen,universal,21.839100105444736
warrior,100,3.6214349269866943,200,250,boltzmann,uniform,multigen,universal,21.839638711845563
