CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.443377733230591,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.666813611984253,200,250,elite,uniform,multigen,elite,21.839644733272355
warrior,100,2.548309564590454,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.5280683040618896,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.4506454467773438,200,250,elite,uniform,multigen,elite,21.8396447332718
warrior,100,2.594921112060547,200,250,elite,uniform,multigen,elite,21.839644733272483
warrior,100,2.604038715362549,200,250,elite,uniform,multigen,elite,21.839644733271836
warrior,100,2.659668445587158,200,250,elite,uniform,multigen,elite,21.83964473327248
warrior,100,2.7508671283721924,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.4404137134552,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.6541759967803955,200,250,elite,uniform,multigen,elite,21.839644733271783
warrior,100,2.4590559005737305,200,250,elite,uniform,multigen,elite,21.83964473327241
warrior,100,2.7257559299468994,200,250,elite,uniform,multigen,elite,21.83964473327219
warrior,100,2.4652905464172363,200,250,elite,uniform,multigen,elite,21.839644733272422
warrior,100,2.66941237449646,200,250,elite,uniform,multigen,elite,21.839644733272358
warrior,100,2.534003734588623,200,250,elite,uniform,multigen,elite,21.839644733272454
warrior,100,2.6099536418914795,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.5866923332214355,200,250,elite,uniform,multigen,elite,21.839644733272475
warrior,100,2.620828866958618,200,250,elite,uniform,multigen,elite,21.839644733272486
warrior,100,2.6127233505249023,200,250,elite,uniform,multigen,elite,21.839644733272184
warrior,100,2.651008367538452,200,250,elite,uniform,multigen,elite,21.83964473327199
warrior,100,2.634650707244873,200,250,elite,uniform,multigen,elite,21.83964473327102
warrior,100,2.4374983310699463,200,250,elite,uniform,multigen,elite,21.839644733272074
warrior,100,2.6744377613067627,200,250,elite,uniform,multigen,elite,21.839644733272163
warrior,100,2.608741044998169,200,250,elite,uniform,multigen,elite,21.839644733272383
warrior,100,3.1999809741973877,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.53623366355896,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.505092144012451,200,250,roulette,uniform,multigen,elite,21.839644733272483
warrior,100,3.1934571266174316,200,250,roulette,uniform,multigen,elite,21.83964473327246
warrior,100,3.368382215499878,200,250,roulette,uniform,multigen,elite,21.839644733272436
warrior,100,3.187866687774658,200,250,roulette,uniform,multigen,elite,21.839644733272458
warrior,100,3.288132667541504,200,250,roulette,uniform,multigen,elite,21.83964473327244
warrior,100,3.0774455070495605,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.1090993881225586,200,250,roulette,uniform,multigen,elite,21.839644733272372
warrior,100,3.352590560913086,200,250,roulette,uniform,multigen,elite,21.839644733272454
warrior,100,3.2039618492126465,200,250,roulette,uniform,multigen,elite,21.83964473327249
warrior,100,3.0000452995300293,200,250,roulette,uniform,multigen,elite,21.839644733272326
warrior,100,3.204162120819092,200,250,roulette,uniform,multigen,elite,21.83964473327246
warrior,100,3.2270913124084473,200,250,roulette,uniform,multigen,elite,21.83964473327247
warrior,100,3.256530284881592,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.8358216285705566,200,250,roulette,uniform,multigen,elite,21.83964473327241
warrior,100,3.7158164978027344,200,250,roulette,uniform,multigen,elite,21.83964473327225
warrior,100,3.475574493408203,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.7974531650543213,200,250,roulette,uniform,multigen,elite,21.839644733272127
warrior,100,3.420032024383545,200,250,roulette,uniform,multigen,elite,21.839644733272486
warrior,100,3.477172374725342,200,250,roulette,uniform,multigen,elite,21.839644733272426
warrior,100,3.275794506072998,200,250,roulette,uniform,multigen,elite,21.83964473327234
warrior,100,3.3450891971588135,200,250,roulette,uniform,multigen,elite,21.839644733271758
warrior,100,4.116595506668091,200,250,roulette,uniform,multigen,elite,21.839644733272443
warrior,100,3.1738121509552,200,250,roulette,uniform,multigen,elite,21.839644733272376
warrior,100,3.741697072982788,200,250,universal,uniform,multigen,elite,21.83964473327246
warrior,100,3.2967731952667236,200,250,universal,uniform,multigen,elite,21.839644733272426
warrior,100,3.074218273162842,200,250,universal,uniform,multigen,elite,21.839644733272326
warrior,100,3.254408121109009,200,250,universal,uniform,multigen,elite,21.839644733272465
warrior,100,3.150758981704712,200,250,universal,uniform,multigen,elite,21.839644733272486
warrior,100,2.780644416809082,200,250,universal,uniform,multigen,elite,21.83964473327249
warrior,100,3.1080167293548584,200,250,universal,uniform,multigen,elite,21.83964473327237
warrior,100,3.4494218826293945,200,250,universal,uniform,multigen,elite,21.839644733272447
warrior,100,3.0105843544006348,200,250,universal,uniform,multigen,elite,21.83964473327248
warrior,100,3.2253406047821045,200,250,universal,uniform,multigen,elite,21.839644733272166
warrior,100,3.3979036808013916,200,250,universal,uniform,multigen,elite,21.839644733272255
warrior,100,3.5041487216949463,200,250,universal,uniform,multigen,elite,21.83964473327248
warrior,100,3.963655710220337,200,250,universal,uniform,multigen,elite,21.839644733272486
warrior,100,4.054461479187012,200,250,universal,uniform,multigen,elite,21.83964473327248
warrior,100,3.0452733039855957,200,250,universal,uniform,multigen,elite,21.839644733272443
warrior,100,3.0049402713775635,200,250,universal,uniform,multigen,elite,21.83964473327249
warrior,100,3.1068999767303467,200,250,universal,uniform,multigen,elite,21.839644733270305
warrior,100,2.9512178897857666,200,250,universal,uniform,multigen,elite,21.839644733272404
warrior,100,3.216169834136963,200,250,universal,uniform,multigen,elite,21.83964473327247
warrior,100,3.097837209701538,200,250,universal,uniform,multigen,elite,21.83964473327249
warrior,100,3.3252978324890137,200,250,universal,uniform,multigen,elite,21.839644733271744
warrior,100,3.428530693054199,200,250,universal,uniform,multigen,elite,21.8396447332724
warrior,100,3.188218832015991,200,250,universal,uniform,multigen,elite,21.839644733272486
warrior,100,2.979448080062866,200,250,universal,uniform,multigen,elite,21.839644733272184
warrior,100,3.703761577606201,200,250,universal,uniform,multigen,elite,21.83964473327248
warrior,100,2.786733865737915,200,250,boltzmann,uniform,multigen,elite,21.839644733272458
warrior,100,2.891294002532959,200,250,boltzmann,uniform,multigen,elite,21.83964473327242
warrior,100,3.793337106704712,200,250,boltzmann,uniform,multigen,elite,21.839644733271996
warrior,100,2.6311185359954834,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.7887494564056396,200,250,boltzmann,uniform,multigen,elite,21.839644733272372
warrior,100,2.811721086502075,200,250,boltzmann,uniform,multigen,elite,21.839644733268674
warrior,100,2.7641379833221436,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,2.709909439086914,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.742175817489624,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,3.344430685043335,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.9454286098480225,200,250,boltzmann,uniform,multigen,elite,21.83964473327235
warrior,100,2.731199026107788,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.9393701553344727,200,250,boltzmann,uniform,multigen,elite,21.839644733270568
warrior,100,2.5397653579711914,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.7245516777038574,200,250,boltzmann,uniform,multigen,elite,21.839644733272213
warrior,100,2.5437283515930176,200,250,boltzmann,uniform,multigen,elite,21.83964473327217
warrior,100,2.6522557735443115,200,250,boltzmann,uniform,multigen,elite,21.83964473327168
warrior,100,2.647270679473877,200,250,boltzmann,uniform,multigen,elite,21.839644733272426
warrior,100,2.824246644973755,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.8343021869659424,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.57663631439209,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.7197518348693848,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
