CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,0.5792264938354492,20,250,boltzmann,uniform,multigen,elite,21.839644732770076
warrior,100,0.5150229930877686,20,250,boltzmann,uniform,multigen,elite,21.839644732804583
warrior,100,0.5062985420227051,20,250,boltzmann,uniform,multigen,elite,21.839644733220506
warrior,100,0.5689713954925537,20,250,boltzmann,uniform,multigen,elite,21.839644732613603
warrior,100,0.5212728977203369,20,250,boltzmann,uniform,multigen,elite,21.839644731882835
warrior,100,0.617711067199707,20,250,boltzmann,uniform,multigen,elite,21.83964465702659
warrior,100,0.5219976902008057,20,250,boltzmann,uniform,multigen,elite,21.83964473326308
warrior,100,0.5092806816101074,20,250,boltzmann,uniform,multigen,elite,21.83964472742016
warrior,100,0.5221221446990967,20,250,boltzmann,uniform,multigen,elite,21.839644733061746
warrior,100,0.5547208786010742,20,250,boltzmann,uniform,multigen,elite,21.83964473257101
warrior,100,0.5134232044219971,20,250,boltzmann,uniform,multigen,elite,21.829884723446696
warrior,100,0.4941749572753906,20,250,boltzmann,uniform,multigen,elite,21.839644731630354
warrior,100,0.519744873046875,20,250,boltzmann,uniform,multigen,elite,21.839644729411457
warrior,100,0.5214929580688477,20,250,boltzmann,uniform,multigen,elite,21.83964473310617
warrior,100,0.5434896945953369,20,250,boltzmann,uniform,multigen,elite,21.839644696248303
warrior,100,0.5124402046203613,20,250,boltzmann,uniform,multigen,elite,21.839644733271033
warrior,100,0.50710129737854,20,250,boltzmann,uniform,multigen,elite,21.839644733072188
warrior,100,0.48076415061950684,20,250,boltzmann,uniform,multigen,elite,21.839644733043006
warrior,100,0.5127356052398682,20,250,boltzmann,uniform,multigen,elite,21.839644732648935
warrior,100,0.5964348316192627,20,250,boltzmann,uniform,multigen,elite,21.839644733101544
warrior,100,0.5729753971099854,20,250,boltzmann,uniform,multigen,elite,21.839644733070042
warrior,100,0.7957067489624023,20,250,boltzmann,uniform,multigen,elite,21.839644732876785
warrior,100,0.5038721561431885,20,250,boltzmann,uniform,multigen,elite,21.839644725421955
warrior,100,0.5656168460845947,20,250,boltzmann,uniform,multigen,elite,21.83964473327178
warrior,100,0.5010032653808594,20,250,boltzmann,uniform,multigen,elite,21.83964473299494
warrior,100,0.9164559841156006,60,250,boltzmann,uniform,multigen,elite,21.839644733262897
warrior,100,1.1822664737701416,60,250,boltzmann,uniform,multigen,elite,21.839644733272483
warrior,100,0.9354932308197021,60,250,boltzmann,uniform,multigen,elite,21.839644733272163
warrior,100,0.9027242660522461,60,250,boltzmann,uniform,multigen,elite,21.839644733221473
warrior,100,0.976294994354248,60,250,boltzmann,uniform,multigen,elite,21.839644733129894
warrior,100,1.2018959522247314,60,250,boltzmann,uniform,multigen,elite,21.839644733271943
warrior,100,1.0061163902282715,60,250,boltzmann,uniform,multigen,elite,21.839644733272205
warrior,100,1.0692193508148193,60,250,boltzmann,uniform,multigen,elite,21.839644733272348
warrior,100,0.9109001159667969,60,250,boltzmann,uniform,multigen,elite,21.83964473319301
warrior,100,1.0871007442474365,60,250,boltzmann,uniform,multigen,elite,21.839644733251532
warrior,100,1.0424087047576904,60,250,boltzmann,uniform,multigen,elite,21.83964473295329
warrior,100,0.9671919345855713,60,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,0.9121944904327393,60,250,boltzmann,uniform,multigen,elite,21.83964473318696
warrior,100,0.9300637245178223,60,250,boltzmann,uniform,multigen,elite,21.839644733272376
warrior,100,1.0746099948883057,60,250,boltzmann,uniform,multigen,elite,21.83964473326852
warrior,100,0.9082443714141846,60,250,boltzmann,uniform,multigen,elite,21.839644733272113
warrior,100,0.8915126323699951,60,250,boltzmann,uniform,multigen,elite,21.83964473324436
warrior,100,0.9426801204681396,60,250,boltzmann,uniform,multigen,elite,21.8396447332637
warrior,100,0.9865148067474365,60,250,boltzmann,uniform,multigen,elite,21.83964473326634
warrior,100,0.9845535755157471,60,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,0.9424629211425781,60,250,boltzmann,uniform,multigen,elite,21.839644733270166
warrior,100,0.8975090980529785,60,250,boltzmann,uniform,multigen,elite,21.839644733160863
warrior,100,0.9065825939178467,60,250,boltzmann,uniform,multigen,elite,21.83964473327241
warrior,100,1.123762607574463,60,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,0.9357266426086426,60,250,boltzmann,uniform,multigen,elite,21.839644733269314
warrior,100,1.498427391052246,120,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,1.8150949478149414,120,250,boltzmann,uniform,multigen,elite,21.839644733272443
warrior,100,1.6445651054382324,120,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,1.5234065055847168,120,250,boltzmann,uniform,multigen,elite,21.839644733272273
warrior,100,1.626476526260376,120,250,boltzmann,uniform,multigen,elite,21.839644733260563
warrior,100,1.6097545623779297,120,250,boltzmann,uniform,multigen,elite,21.839644733272113
warrior,100,1.5142979621887207,120,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,1.6362569332122803,120,250,boltzmann,uniform,multigen,elite,21.839644733272355
warrior,100,1.5711040496826172,120,250,boltzmann,uniform,multigen,elite,21.839644733207376
warrior,100,1.4983928203582764,120,250,boltzmann,uniform,multigen,elite,21.839644733272404
warrior,100,1.6282289028167725,120,250,boltzmann,uniform,multigen,elite,21.839644733264294
warrior,100,1.589174747467041,120,250,boltzmann,uniform,multigen,elite,21.839644733271545
warrior,100,1.6095690727233887,120,250,boltzmann,uniform,multigen,elite,21.839644733272337
warrior,100,1.6384468078613281,120,250,boltzmann,uniform,multigen,elite,21.839644733272042
warrior,100,1.57694411277771,120,250,boltzmann,uniform,multigen,elite,21.83964473327241
warrior,100,1.4950363636016846,120,250,boltzmann,uniform,multigen,elite,21.83964473325814
warrior,100,1.6430118083953857,120,250,boltzmann,uniform,multigen,elite,21.83964473327227
warrior,100,1.5881540775299072,120,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,1.5192739963531494,120,250,boltzmann,uniform,multigen,elite,21.83964473326978
warrior,100,1.6313374042510986,120,250,boltzmann,uniform,multigen,elite,21.83964473327216
warrior,100,1.5805389881134033,120,250,boltzmann,uniform,multigen,elite,21.839644733271562
warrior,100,1.4667258262634277,120,250,boltzmann,uniform,multigen,elite,21.839644733272234
warrior,100,1.62953782081604,120,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,1.5524718761444092,120,250,boltzmann,uniform,multigen,elite,21.83964473327212
warrior,100,1.5675048828125,120,250,boltzmann,uniform,multigen,elite,21.83964473327186
warrior,100,2.5801620483398438,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.395921230316162,200,250,boltzmann,uniform,multigen,elite,21.839644733272266
warrior,100,2.6635568141937256,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.822160243988037,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.525345802307129,200,250,boltzmann,uniform,multigen,elite,21.839644733272447
warrior,100,2.9284160137176514,200,250,boltzmann,uniform,multigen,elite,21.839644733272326
warrior,100,2.8872697353363037,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.548279285430908,200,250,boltzmann,uniform,multigen,elite,21.839644733272213
warrior,100,2.4710044860839844,200,250,boltzmann,uniform,multigen,elite,21.839644733272454
warrior,100,2.5203945636749268,200,250,boltzmann,uniform,multigen,elite,21.839644733271587
warrior,100,2.3157191276550293,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.386418581008911,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.3883657455444336,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.8000824451446533,200,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,2.3300886154174805,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,2.606010913848877,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.7844676971435547,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.876885175704956,200,250,boltzmann,uniform,multigen,elite,21.839644733271825
warrior,100,2.9454662799835205,200,250,boltzmann,uniform,multigen,elite,21.83964473327116
warrior,100,2.392530679702759,200,250,boltzmann,uniform,multigen,elite,21.839644733272443
warrior,100,2.406555414199829,200,250,boltzmann,uniform,multigen,elite,21.839644733272337
warrior,100,2.5794646739959717,200,250,boltzmann,uniform,multigen,elite,21.839644733257483
warrior,100,2.6691794395446777,200,250,boltzmann,uniform,multigen,elite,21.839644733270667
warrior,100,2.561483383178711,200,250,boltzmann,uniform,multigen,elite,21.839644733271435
warrior,100,2.566472053527832,200,250,boltzmann,uniform,multigen,elite,21.83964473327225
