CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.339829444885254,200,250,boltzmann,uniform,multigen,elite,21.83964473327235
warrior,100,2.6458001136779785,200,250,boltzmann,uniform,multigen,elite,21.83964473327135
warrior,100,2.4775304794311523,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.419360399246216,200,250,boltzmann,uniform,multigen,elite,21.839644733272433
warrior,100,2.4498560428619385,200,250,boltzmann,uniform,multigen,elite,21.839644733270656
warrior,100,3.165971040725708,200,250,boltzmann,uniform,multigen,elite,21.839644733272287
warrior,100,3.0389468669891357,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.5738677978515625,200,250,boltzmann,uniform,multigen,elite,21.839644733272017
warrior,100,2.7869455814361572,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,2.543992519378662,200,250,boltzmann,uniform,multigen,elite,21.839644733272436
warrior,100,2.760685920715332,200,250,boltzmann,uniform,multigen,elite,21.839644733271953
warrior,100,2.3964040279388428,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.8356919288635254,200,250,boltzmann,uniform,multigen,elite,21.839644733272305
warrior,100,3.1549465656280518,200,250,boltzmann,uniform,multigen,elite,21.839644733272277
warrior,100,2.549647092819214,200,250,boltzmann,uniform,multigen,elite,21.839644733272465
warrior,100,2.527697801589966,200,250,boltzmann,uniform,multigen,elite,21.83964473327244
warrior,100,2.3287508487701416,200,250,boltzmann,uniform,multigen,elite,21.83964473327222
warrior,100,2.5795247554779053,200,250,boltzmann,uniform,multigen,elite,21.83964473327246
warrior,100,2.3329672813415527,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4475371837615967,200,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,2.2450294494628906,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.3976786136627197,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4119973182678223,200,250,boltzmann,uniform,multigen,elite,21.839644733272443
warrior,100,2.805896759033203,200,250,boltzmann,uniform,multigen,elite,21.839644733271477
warrior,100,2.6230883598327637,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,130,3.543992757797241,200,250,boltzmann,uniform,multigen,elite,33.42197697236573
warrior,130,3.3827803134918213,200,250,boltzmann,uniform,multigen,elite,33.4219769723659
warrior,130,2.393453359603882,200,250,boltzmann,uniform,multigen,elite,33.42197697236589
warrior,130,2.4252991676330566,200,250,boltzmann,uniform,multigen,elite,33.421976972365535
warrior,130,2.434343099594116,200,250,boltzmann,uniform,multigen,elite,33.42197697236376
warrior,130,2.450906753540039,200,250,boltzmann,uniform,multigen,elite,33.42197697236589
warrior,130,2.460951089859009,200,250,boltzmann,uniform,multigen,elite,33.421976972365734
warrior,130,2.4584097862243652,200,250,boltzmann,uniform,multigen,elite,33.4219769723659
warrior,130,2.3937478065490723,200,250,boltzmann,uniform,multigen,elite,33.42197697236588
warrior,130,2.4373955726623535,200,250,boltzmann,uniform,multigen,elite,33.421976972364504
warrior,130,2.400716543197632,200,250,boltzmann,uniform,multigen,elite,33.42197697236578
warrior,130,2.512734889984131,200,250,boltzmann,uniform,multigen,elite,33.421976972364526
warrior,130,2.5312917232513428,200,250,boltzmann,uniform,multigen,elite,33.42197697236582
warrior,130,3.0769739151000977,200,250,boltzmann,uniform,multigen,elite,33.4219769723641
warrior,130,2.442782402038574,200,250,boltzmann,uniform,multigen,elite,33.4219769723659
warrior,130,2.5750231742858887,200,250,boltzmann,uniform,multigen,elite,33.42197697236589
warrior,130,2.7225611209869385,200,250,boltzmann,uniform,multigen,elite,33.4219769723658
warrior,130,2.7470085620880127,200,250,boltzmann,uniform,multigen,elite,33.4219769723601
warrior,130,2.3464412689208984,200,250,boltzmann,uniform,multigen,elite,33.421976972365634
warrior,130,2.506826639175415,200,250,boltzmann,uniform,multigen,elite,33.42197697236588
warrior,130,2.4092836380004883,200,250,boltzmann,uniform,multigen,elite,33.4219769723659
warrior,130,2.5391807556152344,200,250,boltzmann,uniform,multigen,elite,33.42197697236549
warrior,130,2.3593907356262207,200,250,boltzmann,uniform,multigen,elite,33.42197697236589
warrior,130,2.545215606689453,200,250,boltzmann,uniform,multigen,elite,33.42197697236475
warrior,130,2.3136041164398193,200,250,boltzmann,uniform,multigen,elite,33.421976972365876
warrior,160,2.493403911590576,200,250,boltzmann,uniform,multigen,elite,45.19597456319972
warrior,160,2.2856507301330566,200,250,boltzmann,uniform,multigen,elite,45.195974563172165
warrior,160,2.5304861068725586,200,250,boltzmann,uniform,multigen,elite,45.19597456319867
warrior,160,2.2996718883514404,200,250,boltzmann,uniform,multigen,elite,45.19597456319665
