CharacterClass,PointsAvailable,ElapsedSeconds,PopulationSize,MaxGenerations,ParentsSelection,Crossover,Mutation,NewGenerationSelection,SolutionScoreForEVE
warrior,100,2.507546901702881,200,250,boltzmann,uniform,multigen,elite,21.83964473327249
warrior,100,2.4079787731170654,200,250,boltzmann,uniform,multigen,elite,21.839644733271317
warrior,100,2.7186005115509033,200,250,boltzmann,uniform,multigen,elite,21.839644733269434
warrior,100,2.4228954315185547,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,2.543069362640381,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.5799102783203125,200,250,boltzmann,uniform,multigen,elite,21.83964473327244
warrior,100,2.461529016494751,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,2.4478132724761963,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4443845748901367,200,250,boltzmann,uniform,multigen,elite,21.839644733272337
warrior,100,2.4812796115875244,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.830481767654419,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.9624831676483154,200,250,boltzmann,uniform,multigen,elite,21.839644733272436
warrior,100,2.3942558765411377,200,250,boltzmann,uniform,multigen,elite,21.83964473327224
warrior,100,2.8748550415039062,200,250,boltzmann,uniform,multigen,elite,21.839644733272383
warrior,100,2.3919548988342285,200,250,boltzmann,uniform,multigen,elite,21.839644733271744
warrior,100,2.8738937377929688,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.4329161643981934,200,250,boltzmann,uniform,multigen,elite,21.839644733272483
warrior,100,2.6634504795074463,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.530634641647339,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.6538021564483643,200,250,boltzmann,uniform,multigen,elite,21.839644733272305
warrior,100,3.096935749053955,200,250,boltzmann,uniform,multigen,elite,21.839644733271317
warrior,100,2.886138439178467,200,250,boltzmann,uniform,multigen,elite,21.839644733272483
warrior,100,2.5405795574188232,200,250,boltzmann,uniform,multigen,elite,21.83964473327121
warrior,100,2.3017921447753906,200,250,boltzmann,uniform,multigen,elite,21.839644733272358
warrior,100,2.535125494003296,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.3419947624206543,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,2.5179262161254883,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,3.582331895828247,200,250,boltzmann,uniform,multigen,elite,21.83964473326248
warrior,100,3.4217731952667236,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,3.704561471939087,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,3.7420895099639893,200,250,boltzmann,uniform,multigen,elite,21.83964473327248
warrior,100,3.3692407608032227,200,250,boltzmann,uniform,multigen,elite,21.839644733271605
warrior,100,3.2531888484954834,200,250,boltzmann,uniform,multigen,elite,21.83964473327158
warrior,100,3.801431179046631,200,250,boltzmann,uniform,multigen,elite,21.839644733271317
warrior,100,5.2420947551727295,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,4.219309568405151,200,250,boltzmann,uniform,multigen,elite,21.839644733271147
warrior,100,3.064671516418457,200,250,boltzmann,uniform,multigen,elite,21.83964473327215
warrior,100,4.151602029800415,200,250,boltzmann,uniform,multigen,elite,21.83964473326891
warrior,100,4.375961542129517,200,250,boltzmann,uniform,multigen,elite,21.8396447332724
warrior,100,4.213169097900391,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,4.733556032180786,200,250,boltzmann,uniform,multigen,elite,21.83964473327247
warrior,100,3.8497567176818848,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,3.9731571674346924,200,250,boltzmann,uniform,multigen,elite,21.83964473327237
warrior,100,5.20939564704895,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,4.615322113037109,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,4.4292073249816895,200,250,boltzmann,uniform,multigen,elite,21.83964473327192
warrior,100,3.896700143814087,200,250,boltzmann,uniform,multigen,elite,21.839644733272422
warrior,100,3.2373366355895996,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.998534679412842,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,3.363548994064331,200,250,boltzmann,uniform,multigen,elite,21.839644733272436
warrior,100,2.913804054260254,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,3.7418651580810547,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,4.266885757446289,200,250,boltzmann,uniform,multigen,elite,21.83964473327227
warrior,100,3.780911684036255,200,250,boltzmann,uniform,multigen,elite,21.83964473327208
warrior,100,2.602407932281494,200,250,boltzmann,uniform,multigen,elite,21.839644733272426
warrior,100,2.595867872238159,200,250,boltzmann,uniform,multigen,elite,21.839644733270863
warrior,100,2.6258749961853027,200,250,boltzmann,uniform,multigen,elite,21.839644733272394
warrior,100,2.6658074855804443,200,250,boltzmann,uniform,multigen,elite,21.839644733272426
warrior,100,3.4122471809387207,200,250,boltzmann,uniform,multigen,elite,21.839644733272483
warrior,100,3.7952048778533936,200,250,boltzmann,uniform,multigen,elite,21.839644733272422
warrior,100,3.3995730876922607,200,250,boltzmann,uniform,multigen,elite,21.839644733272475
warrior,100,2.7569241523742676,200,250,boltzmann,uniform,multigen,elite,21.83964473327191
warrior,100,2.4153997898101807,200,250,boltzmann,uniform,multigen,elite,21.839644733272486
warrior,100,2.529736280441284,200,250,boltzmann,uniform,multigen,elite,21.839644733272397
